delta,epsilon,final_alpha,final_alpha_prime,steps,rms
2.88889,0.5,3.73032,-0.975237,19882,3.59321
2.11111,0.222222,0.490804,0.512953,14317,0.985784
2.55556,0.333333,0.30945,0.468081,15104,0.941035
2.22222,0.166667,0.38045,0.375862,12759,0.72082
2,0.166667,0.617498,0.477804,13446,0.939736
2.77778,0.333333,6.02552,-0.408385,14426,5.55491
2.55556,0.0555556,0.103625,0.0606751,8450,0.146386
2.33333,0.5,3.95709,-0.746592,19390,3.68123
2,0.111111,0.625296,0.32559,12857,0.714284
2.88889,0,0.05,0,-1,0
2.11111,0.0555556,0.05,0,-1,0
2.11111,0,0.05,0,-1,0
2.55556,0.444444,3.78755,-0.923968,19728,3.58437
2.66667,0.388889,2.46447,0.920945,19023,3.58007
2.22222,0.0555556,0.243561,0.103672,10344,0.257397
2.66667,0.333333,0.281917,0.437431,15096,0.886027
2.66667,0.0555556,0.05,0,-1,0
2.88889,0.111111,0.0750443,0.0562541,8754,0.139042
2.33333,0.333333,0.377442,0.534654,14288,1.0596
2.77778,0.277778,0.218531,0.328565,13609,0.662114
2.44444,0.5,3.74759,-0.96033,20126,3.5566
2.33333,0.277778,0.367474,0.484083,13539,0.945065
3,0.166667,0.0803303,0.077783,9053,0.180585
2.77778,0.0555556,0.0794426,0.0429111,7856,0.114547
3,0.333333,3.85538,-0.933192,17786,3.59599
3,0.222222,0.111274,0.146639,11133,0.310772
2.44444,0.0555556,0.12798,0.0744391,9169,0.172529
2.33333,0.444444,2.4651,0.894602,20176,3.56879
2.22222,0.5,4.008,-0.685685,19459,3.6927
2.11111,0.388889,2.37095,0.849473,18567,3.56245
2.44444,0.444444,3.80182,-0.910033,19854,3.58059
2.44444,0.277778,0.322205,0.443304,13323,0.871637
2.44444,0.333333,5.94222,-0.50045,15112,5.40982
2.22222,0.111111,0.315209,0.252559,12059,0.496102
2.44444,0,0.05,0,-1,0
2.77778,0.222222,0.158862,0.219541,12723,0.443494
2.55556,0.388889,2.45067,0.909124,19103,3.57741
2.55556,0.166667,0.166464,0.197699,11139,0.392208
3,0.277778,0.168676,0.259336,13345,0.533661
2.55556,0,0.05,0,-1,0
2.88889,0.0555556,0.05,0,-1,0
2,0.0555556,0.05,0,-1,0
2.22222,0.388889,3.88746,-0.866283,19275,3.57097
2,0.388889,2.34132,0.831717,18436,3.55817
2.88889,0.222222,0.131509,0.179511,11785,0.37015
2.44444,0.166667,0.221112,0.254357,11417,0.493711
2.33333,0.111111,0.215211,0.193011,11449,0.379373
2.11111,0.166667,0.486908,0.431424,13523,0.832387
2.77778,0.5,3.73985,-0.964544,20065,3.59064
2.22222,0.277778,0.420356,0.526013,13112,1.02149
3,0.0555556,0.0685451,0.0325646,7192,0.0979273
2.44444,0.388889,2.43494,0.896131,19160,3.57329
2.66667,0.166667,0.128677,0.151459,10122,0.30829
2.55556,0.277778,0.283011,0.403783,13209,0.799932
2.22222,0.444444,2.44648,0.87758,19399,3.56667
2.11111,0.277778,0.48313,0.56887,13532,1.10111
2.77778,0.111111,0.0827746,0.0674009,8764,0.157853
2.66667,0.277778,0.248709,0.365505,13408,0.730101
2.44444,0.111111,0.151571,0.142374,10891,0.286204
2,0,0.05,0,-1,0
2.66667,0.111111,0.0949351,0.0832452,8860,0.183403
2.55556,0.5,3.76243,-0.939504,20604,3.58346
2.88889,0.444444,3.75382,-0.958148,19582,3.59247
2.88889,0.277778,0.191959,0.293077,12765,0.595734
2.11111,0.111111,0.452201,0.304978,12712,0.616089
2.77778,0.166667,0.104704,0.117729,10352,0.249708
2.66667,0.222222,0.193655,0.264983,12723,0.526492
2.33333,0.222222,0.342905,0.413925,11957,0.79986
2.77778,0.388889,2.4766,0.931652,18750,3.58245
2.55556,0.222222,0.235745,0.313563,12725,0.615326
2.66667,0.5,3.75048,-0.952688,20631,3.58695
2.11111,0.333333,0.470934,0.608833,14351,1.18944
3,0.5,3.72176,-0.984905,19917,3.59614
2,0.222222,0.588209,0.559363,14184,1.07833
2.55556,0.111111,0.115361,0.106769,9486,0.22392
2.33333,0.0555556,0.17058,0.0918574,10322,0.211803
3,0.111111,0.0698611,0.0480659,7230,0.126163
3,0.388889,6.03583,-0.422143,15429,5.51354
2.88889,0.166667,0.0898308,0.0942505,9571,0.208763
2,0.5,2.29502,1.14724,19838,3.67122
2,0.277778,0.559095,0.612059,14330,1.18058
3,0.444444,3.74495,-0.967426,19402,3.59498
2.22222,0.333333,0.420164,0.570782,13552,1.12329
2.77778,0,0.05,0,-1,0
2.66667,0.444444,3.77496,-0.936542,19885,3.58766
2.44444,0.222222,0.285224,0.363553,12739,0.706647
2.88889,0.388889,6.02017,-0.442996,16685,5.47885
2.88889,0.333333,6.04705,-0.380823,14471,5.59818
2.22222,0.222222,0.410496,0.46399,12368,0.892272
2.66667,0,0.05,0,-1,0
2.11111,0.5,3.88884,-1.14731,19539,3.43546
2,0.444444,2.35571,0.721068,19666,3.50202
2.11111,0.444444,2.43133,0.901241,19241,3.57965
2.33333,0.166667,0.292569,0.315556,11562,0.606983
2.77778,0.444444,3.76379,-0.947894,19881,3.58969
2.33333,0,0.05,0,-1,0
2,0.333333,0.592569,0.648861,14338,1.2579
3,0,0.05,0,-1,0
2.33333,0.388889,2.41681,0.881866,19010,3.57138
2.22222,0,0.05,0,-1,0
